content_id,source,large_category,mid_category,facility_name,is_program,program_name,sido,sigungu,address,lat,lon,price_known,price,is_free,price_raw,open_time,close_time,is_time_fixed,operating_hours_remark,closed_day,tel,homepage,description,space_type,social_mode,social_intensity_score,content_mode,last_updated
PLACE_FOREST_0011,휴양림,자연,휴양림,성주산자연휴양림,False,,충청남도,보령시,충청남도 보령시 성주면 화장골길 57-228,36.33256882,126.6639659,True,1000.0,False,성인1000원+청소년800원+군인800원+어린이400원,,,False,,,041-934-7133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030078,숲속의집 · 생태숲 · 야영장,실외,소그룹,3,감각형,2026-05-20
PLACE_FOREST_0012,휴양림,자연,휴양림,거창 항노화 힐링랜드,False,,경상남도,거창군,경상남도 거창군 가조면 의상봉길 834,35.73662049,128.0408983,True,3000.0,False,3000원,,,False,,,055-940-7930,http://healingland.foresttrip.go.kr/,출렁다리 · 산림휴양관 · 숲속의집 · 산림치유센터 · 자생식물원,실외,소그룹,3,감각형,2026-02-23
PLACE_FOREST_0013,휴양림,자연,휴양림,금봉자연휴양림,False,,경상북도,의성군,경상북도 의성군 옥산면 휴양림길 114,36.3360183,128.8807891,True,0.0,True,무료,,,False,,,054-833-0123,http://www.foresttrip.go.kr,"객실(산림휴양관,숲속의집,푸름동,아람동), 자생식물원 등",실외,소그룹,2,감각형,2026-04-27
PLACE_FOREST_0014,휴양림,자연,휴양림,함평자연생태공원,False,,전라남도,함평군,전라남도 함평군 대동면 학동로 1398-77,35.13500123,126.5056999542,True,5000.0,False,"(성수기: 3~11월)성인5000원+청소년,군인4000원+어린이,노인2500원 (비수기: 12월~2월) 어른5000원+청소년,군인4000원+어린이,노인2000원",,,False,,,,https://www.hampyeong.go.kr/ecopark/,과학관 · 나비곤충표본전시관 · 식물관 · 캠핑트레일러 · 반달가슴곰관찰원,실외,소그룹,2,감각형,2026-03-11
PLACE_FOREST_0015,휴양림,자연,휴양림,망경대산 자연휴양림,False,,강원특별자치도,영월군,강원특별자치도 영월군 산솔면 선도우길 177,37.1798615348,128.5927021447,True,3000.0,False,개인3000원/단체2000원(어른기준),,,False,,,033-375-8765,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030067,숲속의집,실외,소그룹,2,감각형,2025-12-26
PLACE_FOREST_0016,휴양림,자연,휴양림,거제자연휴양림,False,,경상남도,거제시,경상남도 거제시 동부면 거제중앙로 325,34.78569918,128.6259431,True,0.0,True,무료,,,False,,,055-639-8331,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,숲속의집 · 산림문화휴양관,실외,소그룹,3,감각형,2026-02-26
PLACE_FOREST_0017,휴양림,자연,휴양림,사천 케이블카 자연휴양림,False,,경상남도,사천시,경상남도 사천시 실안길 242-45,34.95001993,128.0612733,True,1000.0,False,어른(개인 1000원+단체 800원)+청소년·군인(개인 700원+단체 500원)+어린이(개인 400원+단체 200원),,,False,,,055-835-9524,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030112,숲속의집 · 휴양관 · 야영장 · 야영센터 · 숲놀이터 · 숲속 산책로 · 네트시설,실외,소그룹,2,감각형,2026-02-27
PLACE_FOREST_0018,휴양림,자연,휴양림,구수곡자연휴양림,False,,경상북도,울진군,경상북도 울진군 북면 십이령로 2721,37.06212162,129.2929279,True,0.0,True,무료,,,False,,,054-783-2241,https://www.foresttrip.go.kr,숲속의 집,실외,소그룹,3,감각형,2026-02-25
PLACE_FOREST_0019,휴양림,자연,휴양림,학가산우래자연휴양림,False,,경상북도,예천군,경상북도 예천군 보문면 휴양림길 210,36.677929,128.592876,False,,,성인3000+성인단체(20인이상)2000+청소년·어린이2000+청소년단체(20인이상)1000,,,False,,,054-652-0114,http://www.hakasan.co.kr/,숲속의 집 · 산림휴양관,실외,소그룹,2,감각형,2026-01-16
PLACE_FOREST_0020,휴양림,자연,휴양림,미숭산자연휴양림,False,,경상북도,고령군,경상북도 고령군 대가야읍 낫질로 672-99,35.75077545,128.2028394,True,0.0,True,무료,,,False,,,054-950-7407,https://misungsan.foresttrip.go.kr,숲속의집 · 산림문화휴양관,실외,소그룹,2,감각형,2025-12-25
PLACE_FOREST_0021,휴양림,자연,휴양림,장곡자연휴양림,False,,대구광역시,군위군,대구광역시 군위군 삼국유사면 장곡휴양림길 195,36.13118976,128.8465299,True,1000.0,False,일반어른1000원+일반청소년700원+일반군인700원+일반어린이500원+단체어른700원+단체청소년500원+단체군인500원+단체어린이300원,,,False,,,054-380-6317,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030064,숲속의 집 · 산림문화휴양관 · 산림생태체험학습관 · 자생식물원 · 어린이물놀이장,실외,소그룹,2,감각형,2026-03-05
PLACE_FOREST_0022,휴양림,자연,휴양림,비학산자연휴양림,False,,경상북도,포항시,경상북도 포항시 북구 기북면 비학산길 302,36.14703337,129.2111071,True,70000.0,False,숙박 : 7만원 + 11만원+ 14만원,,,False,,,054-252-3275,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030052,산림휴양관 · 숲속의 집 · 테라스하우스 · 카라반 · 야외데크 · 생태숲 등,실외,소그룹,2,감각형,2026-02-24
PLACE_FOREST_0023,휴양림,자연,휴양림,흑석산자연휴양림,False,,전라남도,해남군,전라남도 해남군 계곡면 산골길 306,34.67093468,126.6169967,True,1000.0,False,일반1000원+단체800원+청소년600원+군인600원+어린이500원+장애인무료,,,False,,,061-535-4812,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030045,숲속의집 · 야영장,실외,소그룹,2,감각형,2026-02-24
PLACE_FOREST_0024,휴양림,자연,휴양림,백아산자연휴양림,False,,전라남도,화순군,전라남도 화순군 백아면 수양로 353,35.15137582,127.1671251,True,1000.0,False,어른1000원+청소년600원+어린이400원,,,False,,,061-379-3738,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030098,다목적구장 · 물레방아 · 관리사무소 · 수련원 · 잔디광장 · 잔디광장(소) · 체력단련장 · 계곡데크,실외,소그룹,3,감각형,2026-01-26
PLACE_FOREST_0025,휴양림,자연,휴양림,한천자연휴양림,False,,전라남도,화순군,전라남도 화순군 한천면 죽헌로 719,34.98834125,127.0454803,True,1000.0,False,어른1000원+청소년600원+어린이400원,,,False,,,061-379-3734,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030088,캠핑장 · 데크 · 잔디광장 · 정자,실외,소그룹,3,감각형,2026-01-26
PLACE_FOREST_0026,휴양림,자연,휴양림,제암산자연휴양림,False,,전라남도,보성군,전라남도 보성군 웅치면 대산길 330,34.70050454,126.9855053,True,1000.0,False,개인(일반1000원+단체800원+할인500원)+청소년·군인(일반600원+단체500원+할인300원)+어린이(일반400원+단체300원+할인200원),,,False,,,061-852-4434,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030090,숙박 · 야영장 · 물놀이장 · 더늠길 · 숲속교육관 · 족구장데크 · 모험시설 · 하이데크 · 잔디광장,실외,소그룹,3,감각형,2026-02-05
PLACE_FOREST_0027,휴양림,자연,휴양림,변산자연휴양림,False,,전북특별자치도,부안군,전북특별자치도 부안군 변산면 변산로 3768,35.582878,126.523728,True,58000.0,False,"숲속의집(5인실58000원~106000원+6인실75000원~134000원+8인실98000원~173000원),휴양관(5인실56000원~102000원+7인실75000원~134000원+9인실95000원~162000원),연립동(5인실58000원~106000원)",,,False,,,063-581-9977,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0189,숲속의집 · 휴양관 · 연립동 · 체험교실 · 물놀이장(현재 미운영),실외,소그룹,2,감각형,2026-01-12
PLACE_FOREST_0028,휴양림,자연,휴양림,성수산자연휴양림,False,,전북특별자치도,임실군,전북특별자치도 임실군 성수면 성수산길 374,35.63771849,127.4078502,True,0.0,True,무료,,,False,,,063-643-4683,https://www.foresttrip.go.kr,자연휴양관,실외,소그룹,2,감각형,2026-03-05
PLACE_FOREST_0029,휴양림,자연,휴양림,세심자연휴양림,False,,전북특별자치도,임실군,전북특별자치도 임실군 삼계면 임삼로 485,35.514241,127.240066,True,0.0,True,무료,,,False,,,,,숲속의집,실외,소그룹,2,감각형,2026-03-05
PLACE_FOREST_0030,휴양림,자연,휴양림,방화동자연휴양림,False,,전북특별자치도,장수군,전북특별자치도 장수군 번암면 방화동로 778,35.59064044,127.5268764,True,0.0,True,무료,,,False,,,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,숲속의집 · 산림문화휴양관 · 수련관,실외,소그룹,2,감각형,2025-12-22
PLACE_FOREST_0031,휴양림,자연,휴양림,방화동가족휴가촌,False,,전북특별자치도,장수군,전북특별자치도 장수군 번암면 방화동로 778,35.59064044,127.5268764,True,0.0,True,무료,,,False,,,063-350-2474,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030082,오토캠핑장 · 야영장 · 모험놀이장 · 가족놀이장 · 체육광장,실외,소그룹,3,감각형,2025-12-22
PLACE_FOREST_0032,휴양림,자연,휴양림,와룡자연휴양림,False,,전북특별자치도,장수군,전북특별자치도 장수군 천천면 비룡로 632,35.67621885,127.4772179,True,0.0,True,무료,,,False,,,063-350-2477,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030084,삼림욕장 · 숙박시설 · 야영데크 · 야영장 · 산행코스 · 물썰매장 · 수영장 · 치유의숲,실외,소그룹,3,감각형,2025-12-22
PLACE_FOREST_0033,휴양림,자연,휴양림,향로산 자연휴양림,False,,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 무학로153-36,36.02374884,127.6699089,True,0.0,True,무료,,,False,,,063-320-6884,https://foresttrip.go.kr,숲속나무집 · 은하빛휴양관 · 초록빛휴양관 · 숲속동굴집 · 숲속거울집 · 야영장 · 모노레일,실외,소그룹,2,감각형,2026-01-14
PLACE_FOREST_0034,휴양림,자연,휴양림,반딧불 자연휴양림,False,,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1324,36.01249047,127.7611881,True,0.0,True,무료,,,False,,,063-320-5666,https://tour.muju.go.kr/bandiland/contents.do?key=399,통나무집 · 목교 · 평상 · 평의자,실외,소그룹,3,감각형,2026-01-14
PLACE_FOREST_0035,휴양림,자연,휴양림,운장산자연휴양림,False,,전북특별자치도,진안군,전북특별자치도 진안군 정천면 휴양림길 77,35.89924607,127.4211096,False,,,일반인(개인 1000+단체 800)+청소년(개인 600+단체 500)+어린이(개인 300+단체 200),,,False,,,063-432-1193,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0194,숲속의집 · 연립동 · 산림문화휴양관 · 숲속수련관,실외,소그룹,3,감각형,2026-01-28
PLACE_FOREST_0036,휴양림,자연,휴양림,데미샘자연휴양림,False,,전북특별자치도,진안군,전북특별자치도 진안군 백운면 데미샘 1길 172,35.6569938,127.4610402,True,0.0,True,무료,,,False,,,063-290-6993,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030074,휴양관 · 숲속의집 · 숲문화마당 · 명상의숲 등,실외,소그룹,2,감각형,2026-01-28
PLACE_FOREST_0037,휴양림,자연,휴양림,안면도자연휴양림,False,,충청남도,태안군,충청남도 태안군 안면읍 안면대로3195-6,36.49670127,126.3588291,True,1000.0,False,일반 1000원+청소년 800원+군인 800원+어린이 400원,,,False,,,041-674-5019,www.anmyonhuyang.go.kr,전시관 · 수목원 · 숲속의집 등,실외,소그룹,3,감각형,2025-12-29
PLACE_FOREST_0038,휴양림,자연,휴양림,봉수산자연휴양림,False,,충청남도,예산군,충청남도 예산군 대흥면 임존성길 153,36.59844872,126.7808937,True,0.0,True,무료,,,False,,,041-339-8936,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030028,숲속의집 · 산림문화휴양관,실외,소그룹,2,감각형,2026-01-09
PLACE_FOREST_0039,휴양림,자연,휴양림,양촌자연휴양림,False,,충청남도,논산시,충청남도 논산시 양촌면 매죽헌로1723번길 176-23,36.1572604,127.2464846,True,1000.0,False,(일반)1000원+(청소년)800원+(어린이)500원+(개인단체)800원+(청소년단체)600원+(어린이단체)200원,,,False,,,041-746-6481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030034,글램핑장(8동) · 숲속의집(21동) · 휴양관(7실) · 다용도실 · 세미나실 · 야외무대,실외,소그룹,2,감각형,2026-02-05
PLACE_FOREST_0040,휴양림,자연,휴양림,생거진천자연휴양림,False,,충청북도,진천군,충청북도 진천군 백곡면 명암길 435-135,36.923988,127.3902017,True,0.0,True,무료,,,False,,,043-539-3554,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030033,산림문화휴양관 · 숲속의집12동 · 연립동 · 야영센터 · 관리사무소 · 유아숲체험원,실외,소그룹,2,감각형,2026-02-19
PLACE_FOREST_0041,휴양림,자연,휴양림,장령산자연휴양림,False,,충청북도,옥천군,충청북도 옥천군 군서면 장령산로 519,36.24486737,127.5547497,True,0.0,True,무료,,,False,,,043-730-3491,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030036,숲속의집 · 산림문화휴양관 · 야영장 · 야외물놀이장 등,실외,소그룹,3,감각형,2026-01-12
PLACE_FOREST_0042,휴양림,자연,휴양림,박달재자연휴양림,False,,충청북도,제천시,충청북도 제천시 백운면 금봉로 228,37.14706386,128.0457749,False,,,무,,,False,,,043-652-0910,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030062,숲속의집 · 산책로,실외,소그룹,3,감각형,2025-12-24
PLACE_FOREST_0043,휴양림,자연,휴양림,옥전자연휴양림,False,,충청북도,제천시,충청북도 제천시 봉양읍 옥전길 195,37.17276606,128.0888597,False,,,무,,,False,,,043-641-6893,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030110,숲속의집,실외,소그룹,3,감각형,2025-12-24
PLACE_FOREST_0044,휴양림,자연,휴양림,입화산 자연휴양림,False,,울산광역시,중구,울산광역시 중구 길촌길 333,35.5765735,129.2776215,True,25000.0,False,(감면 미적용 금액)(비수기)오토캠핑 평일 25000원+(비수기)오토캠핑 주말.공휴일 30000원+(비수기)카라반 평일 150000원+(비수기)카라반 주말.공휴일 170000원+(성수기)오토캠핑 35000원+(성수기)카라반 200000원,,,False,,,052-290-4412,https://camping.junggu.ulsan.kr/camping/index.do,자동차야영장 · 별뜨락(카라반) · 산림욕장 · 숲속도서관 · 유아숲체험원,실외,소그룹,2,감각형,2026-02-27
PLACE_FOREST_0045,휴양림,자연,휴양림,진주 월아산 자연휴양림,False,,경상남도,진주시,경상남도 진주시 진성면 달음산로 313,35.19991568,128.1941259,True,0.0,True,무료,,,False,,,055-746-3673,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030114,숲속의집 · 산림휴양관 · 글램핑장 · 야영데크 · 잔디마당 · 우드랜드 · 산림레포츠시설,실외,소그룹,2,감각형,2026-02-01
PLACE_FOREST_0046,휴양림,자연,휴양림,동강전망자연휴양림,False,,강원특별자치도,정선군,강원특별자치도 정선군 신동읍 동강로 916-212,37.25962318,128.6079002,True,0.0,True,무료,,,False,,,070-4225-2336,https://www.jsimc.or.kr,오토캠핑장,실외,소그룹,2,감각형,2026-02-03
PLACE_FOREST_0048,휴양림,자연,휴양림,서귀포 치유의 숲,False,,제주특별자치도,서귀포시,제주특별자치도 서귀포시 산록남로 2271,33.291941,126.527902,True,1000.0,False,어른 1000원+청소년 600원+(단체)어른 800원+(단체)청소년 500원,,,False,,,064-760-3067,https://seogwipo.go.kr/healing/index.htm,치유숲길,실외,소그룹,3,감각형,2025-12-01
PLACE_FOREST_0049,휴양림,자연,휴양림,붉은오름자연휴양림,False,,제주특별자치도,서귀포시,제주특별자치도 서귀포시 표선면 남조로 1487-73,33.401429,126.675671,True,1000.0,False,어른 1000원+청소년·군인 600원+(단체)어른 800원+(단체)청소년·군인 500원,,,False,,,064-760-3481,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030014,숲속의집 · 산림문화휴양관 · 세미나실 · 오름등반로 · 야외공연장,실외,소그룹,3,감각형,2025-12-01
PLACE_FOREST_0050,휴양림,자연,휴양림,서귀포자연휴양림,False,,제주특별자치도,서귀포시,제주특별자치도 서귀포시 1100로 882,33.3115002,126.458761,True,1000.0,False,어른 1000원+청소년 600원+어린이 300원+(단체)어른 800원+(단체)청소년 500원+(단체)어린이 200원,,,False,,,064-738-4544,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030013,숲속의집 · 산림휴양관 · 세미나실 · 야영장 · 생태탐방코스,실외,소그룹,3,감각형,2025-12-01
PLACE_FOREST_0051,휴양림,자연,휴양림,절물자연휴양림,False,,제주특별자치도,제주시,제주특별자치도 제주시 명림로 584,33.44004881,126.6252034,True,1000.0,False,일반1000원+청소년600원+어린이300원+단체일반800원+단체청소년500원+단체어린이200원,,,False,,,064-728-1510,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030053,휴양림 · 수련장 · 숙박등,실외,소그룹,3,감각형,2025-12-21
PLACE_FOREST_0052,휴양림,자연,휴양림,고성갈모봉 자연휴양림,False,,경상남도,고성군,경상남도 고성군 고성읍 갈모봉숲길 42,34.97175502,128.2675789,True,0.0,True,무료,,,False,,,055-670-5953,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030124,방문자안내소 · 숲이그린집 · 숲이그린도서관 · 유아숲체험원,실외,소그룹,2,감각형,2026-01-08
PLACE_FOREST_0053,휴양림,자연,휴양림,청송자연휴양림,False,,경상북도,청송군,경상북도 청송군 부남면 청송로 3478-96,36.3179023,129.0537598,True,0.0,True,무료,,,False,,,054-872-3163,http://csong.foresttrip.go.kr/,숲속의집 · 북스테이,실외,소그룹,2,감각형,2025-12-20
PLACE_FOREST_0054,휴양림,자연,휴양림,대야산자연휴양림,False,,경상북도,문경시,경상북도 문경시 가은읍 용추길 31-35,36.67090364,127.9619774,False,,,어른:1000+청소년:600+어린이:300,,,False,,,054-571-7181,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0245,산림문화휴양관 · 연립동 · 야영시설,실외,소그룹,3,감각형,2025-12-19
PLACE_FOREST_0055,휴양림,자연,휴양림,불정자연휴양림,False,,경상북도,문경시,경상북도 문경시 불정길 180,36.62128207,128.1365074,False,,,어른:1000+청소년/군인:800+어린이:500,,,False,,,054-552-9443,https://www.mgtpcr.or.kr,숲속의집 · 별빛촌 · 산책로 · 야생화단지 등,실외,소그룹,2,감각형,2025-12-19
PLACE_FOREST_0056,휴양림,자연,휴양림,계명산자연휴양림(휴장),False,,경상북도,안동시,경상북도 안동시 길안면 고란길 207-99,36.41012056,128.9465131,True,1000.0,False,일반1000원+단체800원(어른),,,False,,,054-850-4700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030029,숲속의 집 · 편백나무방 · 산림휴양관 · 복합산림휴양관 · 산막 · 야영장 등,실외,소그룹,2,감각형,2026-01-13
PLACE_FOREST_0057,휴양림,자연,휴양림,태학산자연휴양림,False,,충청남도,천안시,충청남도 천안시 동남구 풍세면 휴양림길 127,36.72734819,127.0903273,True,0.0,True,무료,,,False,,,041-529-5108,http://www.cfmc.or.kr/_taehaksan/,숲속의집 · 오토캠핑장 · 산림문화휴양관 · 잔디광장 등,실외,소그룹,3,감각형,2026-01-14
PLACE_FOREST_0058,휴양림,자연,휴양림,성불산자연휴양림,False,,충청북도,괴산군,충청북도 괴산군 괴산읍 충민로기곡길 78,36.80804701,127.8467688,True,1000.0,False,입장료 개인(어린이 1000원+청소년 1500원+군인 1500원+일반 2000원)+입장료 단체(30명 이상)(어린이 500원+청소년 1000원+군인 1000원+일반 1500원)+주차료(경형 1500원+중소형 3000원+대형 5000원+숙박시설 사용자 무료),,,False,,,043-830-2679,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030070,숲속의집A · 숲속의집B · 산림문화휴양관 · 숲관광메가시티 · 생태숲학습관 · 한옥체험관 · 생태공원 · 미선향테마파크무인카페 · 수석전시관 등,실외,소그룹,2,감각형,2025-12-18
PLACE_FOREST_0059,휴양림,자연,휴양림,문수산 산림욕장,False,,경기도,김포시,경기도 김포시 월곶면 문수산로 102-38,37.737829,126.5308885,True,5000.0,False,주차료(1000~5000원),,,False,,,031-988-2965,https://www.guc.or.kr/facility/park_moonsoosan.asp,숲길 · 산림욕장,실외,소그룹,2,감각형,2025-12-15
PLACE_FOREST_0060,휴양림,자연,휴양림,동두천자연휴양림,False,,경기도,동두천시,경기도 동두천시 탑동가산로 1,37.88988548,127.1371472,False,,,성인2000+청소년·군인1500+어린이1000,,,False,,,031-865-6003,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030023,어울림(세미나실) · 산림휴양관 · 숲속의집 · 야영데크 · 치유의숲 · 유아숲체험원 · 목공체험,실외,소그룹,3,감각형,2025-12-29
PLACE_FOREST_0061,휴양림,자연,휴양림,갯골자연휴양림,False,,강원특별자치도,인제군,강원특별자치도 인제군 인제로 103번길 577,38.086369,128.124233,True,60000.0,False,무료+객실비수기 60000원~130000원+객실성수기100000원~170000+데크비수기30000원~40000원+데크성수기35000원~45000원,,,False,,,033-463-3511,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030120,숲속의집 · 야영장 · 휴양관,실외,소그룹,2,감각형,2025-06-17
PLACE_FOREST_0062,휴양림,자연,휴양림,하추자연휴양림,False,,강원특별자치도,인제군,강원특별자치도 인제군 인제읍 하추로686,38.03469483,128.3193078,True,60000.0,False,무료+객실비수기 60000원~80000원+객실성수기80000원~110000원+데크비수기20000원~30000원+데크성수기30000원~40000원,,,False,,,033-461-0056,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030018,숲속의집 · 야영장 · 휴양관,실외,소그룹,2,감각형,2025-06-17
PLACE_FOREST_0063,휴양림,자연,휴양림,독용산성 자연휴양림,False,,경상북도,성주군,경상북도 성주군 금수강산면 사더래길 144,35.90636795,128.1344115,True,0.0,True,무료,,,False,,,054-930-8401,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030004,숲속휴양관 · 휴양관 · 숲속의집 · 관리사무소 · 야외화장실 등,실외,소그룹,2,감각형,2025-06-19
PLACE_FOREST_0064,휴양림,자연,휴양림,청태산휴양림,False,,강원특별자치도,횡성군,강원도 횡성군 둔내면 청태산로 610,37.52907993,128.2968658,True,1000.0,False,일반 : 1000원+청소년 : 600원+어린이 : 300원,,,False,,,033-343-9707,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0106,"제1산림문화휴양관, 제2산림문화휴양관, 숲속의집, 숲속수련장(중형, 소형), 대형숲속수영장(회의실), 야영장, 인도네시아 전통 전시관, 숲생태체험실, BIY목공교실",실외,소그룹,3,감각형,2022-06-22
PLACE_FOREST_0065,휴양림,자연,휴양림,숲체원,False,,강원특별자치도,횡성군,강원도 횡성군 둔내면 청태산로 777,37.53722046,128.2866886,False,,,별도 입장료 없음,,,False,,,033-340-6300,https://hoengseong.fowi.or.kr/,"탐방로, 숙박동, 강의실",실외,소그룹,3,감각형,2022-06-22
PLACE_FOREST_0066,휴양림,자연,휴양림,주천강자연휴양림,False,,강원특별자치도,횡성군,강원도 횡성군 둔내면 강변로 영랑6길 115,37.4606019,128.2034233,False,,,숙박시설 이용객만 입장 가능(별도입장료 : 없음),,,False,,,033-345-7575,http://jucheon.com/,"숲속마을, 산골마을, 강변마을, 숲속학교, 황토별장",실외,소그룹,3,감각형,2022-06-22
PLACE_FOREST_0067,휴양림,자연,휴양림,횡성자연휴양림,False,,강원특별자치도,횡성군,강원도 횡성군 갑천면 정포로 430번길 113,37.53904383,128.1118525,False,,,숙박시설 이용객만 입장 가능(별도입장료 : 없음),,,False,,,033-343-3392,http://www.hsrf.co.kr,"숲속의집, 산림문화휴양관",실외,소그룹,3,감각형,2022-06-22
